internal_code,isin,name,exchange_code,currency,sector_code,country_iso2,yfinance_symbol,stooq_symbol,notes
EQ:NL:AHOLD,NL0011794037,Koninklijke Ahold Delhaize,XAMS,EUR,45,NL,AD.AS,ad.nl,
EQ:NL:PROSUS,NL0013654783,Prosus,XAMS,EUR,10,NL,PRX.AS,prx.nl,
EQ:ES:IBERDROLA,ES0144580Y14,Iberdrola,XMAD,EUR,65,ES,IBE.MC,ibe.es,
EQ:ES:SANTANDER,ES0113900J37,Banco Santander,XMAD,EUR,30,ES,SAN.MC,san.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat
EQ:ES:INDITEX,ES0148396007,Industria de Diseno Textil,XMAD,EUR,40,ES,ITX.MC,itx.es,
EQ:ES:AMADEUS,ES0109067019,Amadeus IT Group,XMAD,EUR,10,ES,AMS.MC,ams.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat
EQ:ES:TELEFONICA,ES0178430E18,Telefonica,XMAD,EUR,15,ES,TEF.MC,tef.es,
EQ:ES:AENA,ES0105046009,Aena,XMAD,EUR,50,ES,AENA.MC,aena.es,Introduite en bourse en 2015 historique court
EQ:IT:ENEL,IT0003128367,Enel,XMIL,EUR,65,IT,ENEL.MI,enel.it,
EQ:IT:FERRARI,NL0011585146,Ferrari,XMIL,EUR,40,NL,RACE.MI,race.it,ISIN neerlandais
EQ:IT:INTESA,IT0000072618,Intesa Sanpaolo,XMIL,EUR,30,IT,ISP.MI,isp.it,
EQ:IT:ENI,IT0003132476,Eni,XMIL,EUR,60,IT,ENI.MI,eni.it,
EQ:BE:ABINBEV,BE0974293251,Anheuser-Busch InBev,XBRU,EUR,45,BE,ABI.BR,abi.be,
EQ:BE:KBC,BE0003565737,KBC Groep,XBRU,EUR,30,BE,KBC.BR,kbc.be,
EQ:BE:UCB,BE0003739530,UCB,XBRU,EUR,20,BE,UCB.BR,ucb.be,
EQ:ES:BANCOBILBAOVIZCA,,"Banco Bilbao Vizcaya Argentaria, S.A.",XMAD,EUR,30,ES,BBVA.MC,,candidat screener yahoo 2026-08-21
EQ:DE:SIEMENSENERGY,,Siemens Energy AG,XETR,EUR,50,DE,ENR.DE,,candidat screener yahoo 2026-08-21
EQ:SE:SPOTIFYTECHNOLOG,,Spotify Technology S.A.,XETR,EUR,15,SE,639.DE,,candidat screener yahoo 2026-08-21
EQ:ES:CAIXABANK,,"CaixaBank, S.A.",XMAD,EUR,30,ES,CABK.MC,,candidat screener yahoo 2026-08-21
EQ:IT:ASSICURAZIONIGEN,,Assicurazioni Generali S.p.A.,XMIL,EUR,30,IT,G.MI,,candidat screener yahoo 2026-08-21
EQ:DE:DEUTSCHEPOST,,Deutsche Post AG,XETR,EUR,50,DE,DHL.DE,,candidat screener yahoo 2026-08-21
EQ:DE:DEUTSCHEBANK,,Deutsche Bank Aktiengesellschaft,XETR,EUR,30,DE,DBK.DE,,candidat screener yahoo 2026-08-21
EQ:DE:MERCK,,Merck KGaA,XETR,EUR,20,DE,MRK.DE,,candidat screener yahoo 2026-08-21
EQ:FI:NORDEABANK,,NORDEA BANK,XHEL,EUR,30,FI,NDA-FI.HE,,candidat screener yahoo 2026-08-21
EQ:FR:CREDITAGRICOLE,,Crédit Agricole S.A.,XPAR,EUR,30,FR,ACA.PA,,candidat screener yahoo 2026-08-21
EQ:FR:SOCIETEGENERALES,,Société Générale Société anonyme,XPAR,EUR,30,FR,GLE.PA,,candidat screener yahoo 2026-08-21
EQ:DE:RHEINMETALL,,Rheinmetall AG,XETR,EUR,50,DE,RHM.DE,,candidat screener yahoo 2026-08-21
EQ:DE:DEUTSCHEBORSE,,Deutsche Börse AG,XETR,EUR,30,DE,DB1.DE,,candidat screener yahoo 2026-08-21
EQ:FI:NOKIA,,Nokia Oyj,XHEL,EUR,10,FI,NOKIA.HE,,candidat screener yahoo 2026-08-21
EQ:AT:ERSTEGROUPBANK,,Erste Group Bank AG,XWBO,EUR,30,AT,EBS.VI,,candidat screener yahoo 2026-08-21
EQ:DE:BAYER,,Bayer Aktiengesellschaft,XETR,EUR,20,DE,BAYN.DE,,candidat screener yahoo 2026-08-21
EQ:DE:EON,,E.ON SE,XETR,EUR,65,DE,EOAN.DE,,candidat screener yahoo 2026-08-21
EQ:DE:RWE,,RWE Aktiengesellschaft,XETR,EUR,65,DE,RWE.DE,,candidat screener yahoo 2026-08-21
EQ:DE:SIEMENSHEALTHINE,,SIEMENS HEALTHINEERS,XETR,EUR,20,DE,SHL.DE,,candidat screener yahoo 2026-08-21
EQ:ES:ENDESA,,"Endesa, S.A.",XMAD,EUR,65,ES,ELE.MC,,candidat screener yahoo 2026-08-21
EQ:DE:COMMERZBANK,,Commerzbank AG,XETR,EUR,30,DE,CBK.DE,,candidat screener yahoo 2026-08-21
EQ:DE:INGPORSCHE,,Dr. Ing. h.c. F. Porsche AG,XETR,EUR,40,DE,P911.DE,,candidat screener yahoo 2026-08-21
EQ:NL:ASMINTERNATIONAL,,ASM International NV,XAMS,EUR,10,NL,ASM.AS,,candidat screener yahoo 2026-08-21
EQ:NL:FERROVIAL,,Ferrovial N.V.,XAMS,EUR,50,NL,FER.AS,,candidat screener yahoo 2026-08-21
EQ:DE:VOLKSWAGEN,,Volkswagen AG,XETR,EUR,40,DE,VOW.DE,,candidat screener yahoo 2026-08-21
EQ:IT:PRYSMIAN,,Prysmian S.p.A.,XMIL,EUR,50,IT,PRY.MI,,candidat screener yahoo 2026-08-21
EQ:IT:BANCAMONTEDEI,,Banca Monte dei Paschi di Siena S.p.A.,XMIL,EUR,30,IT,BMPS.MI,,candidat screener yahoo 2026-08-21
EQ:IT:POSTEITALIANE,,Poste Italiane S.p.A.,XMIL,EUR,50,IT,PST.MI,,candidat screener yahoo 2026-08-21
EQ:DE:DAIMLERTRUCKHOLD,,Daimler Truck Holding AG,XETR,EUR,50,DE,DTG.DE,,candidat screener yahoo 2026-08-21
EQ:NL:ADYEN,,Adyen N.V.,XAMS,EUR,10,NL,ADYEN.AS,,candidat screener yahoo 2026-08-21
EQ:NL:ABNAMROBANK,,ABN AMRO Bank N.V.,XAMS,EUR,30,NL,ABN.AS,,candidat screener yahoo 2026-08-21
EQ:IT:LEONARDO,,Leonardo S.p.a.,XMIL,EUR,50,IT,LDO.MI,,candidat screener yahoo 2026-08-21
EQ:DE:HOCHTIEF,,HOCHTIEF Aktiengesellschaft,XETR,EUR,50,DE,HOT.DE,,candidat screener yahoo 2026-08-21
EQ:DE:TALANX,,Talanx AG,XETR,EUR,30,DE,TLX.DE,,candidat screener yahoo 2026-08-21
EQ:ES:REPSOL,,"Repsol, S.A.",XMAD,EUR,60,ES,REP.MC,,candidat screener yahoo 2026-08-21
EQ:DE:HENKEL,,Henkel AG & Co. KGaA,XETR,EUR,45,DE,HEN3.DE,,candidat screener yahoo 2026-08-21
EQ:DE:HANNOVERRUCK,,Hannover Rück SE,XETR,EUR,30,DE,HNR1.DE,,candidat screener yahoo 2026-08-21
EQ:IT:BPERBANCA,,BPER Banca SpA,XMIL,EUR,30,IT,BPE.MI,,candidat screener yahoo 2026-08-21
EQ:ES:ACSACTIVIDADESCO,,"ACS, Actividades de Construcción y Servicios, S.A.",XMAD,EUR,50,ES,ACS.MC,,candidat screener yahoo 2026-08-21
EQ:DE:HEIDELBERGMATERI,,Heidelberg Materials AG,XETR,EUR,55,DE,HEI.DE,,candidat screener yahoo 2026-08-21
EQ:DK:NOVOZYMES,,Novozymes A/S,XETR,EUR,55,DK,NZM2.DE,,candidat screener yahoo 2026-08-21
EQ:DK:VESTASWINDSYSTEM,,Vestas Wind Systems A/S,XETR,EUR,50,DK,VWSB.DE,,candidat screener yahoo 2026-08-21
EQ:ES:NATURGYENERGYGRO,,"Naturgy Energy Group, S.A.",XMAD,EUR,65,ES,NTGY.MC,,candidat screener yahoo 2026-08-21
EQ:NL:UNIVERSALMUSICGR,,Universal Music Group N.V.,XAMS,EUR,15,NL,UMG.AS,,candidat screener yahoo 2026-08-21
EQ:FI:KONE,,KONE Oyj,XHEL,EUR,50,FI,KNEBV.HE,,candidat screener yahoo 2026-08-21
EQ:FI:SAMPO,,Sampo Oyj,XHEL,EUR,30,FI,SAMPO.HE,,candidat screener yahoo 2026-08-21
EQ:FI:NESTE,,Neste Oyj,XHEL,EUR,60,FI,NESTE.HE,,candidat screener yahoo 2026-08-21
EQ:IT:BANCOBPM,,Banco BPM S.p.A.,XMIL,EUR,30,IT,BAMI.MI,,candidat screener yahoo 2026-08-21
EQ:SE:HEXAGONPUBL,,Hexagon AB (publ),XMIL,EUR,10,SE,1HEXA.MI,,candidat screener yahoo 2026-08-21
EQ:IE:RYANAIRHOLDINGS,,Ryanair Holdings plc,XDUB,EUR,50,IE,RYA.IR,,candidat screener yahoo 2026-08-21
EQ:DE:HAPAGLLOYD,,Hapag-Lloyd Aktiengesellschaft,XETR,EUR,50,DE,HLAG.DE,,candidat screener yahoo 2026-08-21
EQ:DE:BIONTECH,,BioNTech SE,XETR,EUR,20,DE,22UA.DE,,candidat screener yahoo 2026-08-21
EQ:NL:EXOR,,Exor N.V.,XAMS,EUR,50,NL,EXO.AS,,candidat screener yahoo 2026-08-21
EQ:FR:DASSAULTAVIATION,,Dassault Aviation société anonyme,XPAR,EUR,50,FR,AM.PA,,candidat screener yahoo 2026-08-21
EQ:NL:KONINKLIJKEPHILI,,Koninklijke Philips N.V.,XAMS,EUR,20,NL,PHIA.AS,,candidat screener yahoo 2026-08-21
EQ:IE:AIBGROUP,,AIB Group plc,XDUB,EUR,30,IE,A5G.IR,,candidat screener yahoo 2026-08-21
EQ:IT:MEDIOBANCABANCAC,,Mediobanca Banca di Credito Finanziario S.p.A.,XMIL,EUR,30,IT,MB.MI,,candidat screener yahoo 2026-08-21
EQ:DE:ENBWENERGIEBADEN,,EnBW Energie Baden-Württemberg AG,XETR,EUR,65,DE,EBK.DE,,candidat screener yahoo 2026-08-21
EQ:AT:OMV,,OMV Aktiengesellschaft,XWBO,EUR,60,AT,OMV.VI,,candidat screener yahoo 2026-08-21
EQ:IT:UNIPOLASSICURAZI,,Unipol Assicurazioni S.p.A.,XMIL,EUR,30,IT,UNI.MI,,candidat screener yahoo 2026-08-21
EQ:IT:TERNA,,Terna S.p.A.,XMIL,EUR,65,IT,TRN.MI,,candidat screener yahoo 2026-08-21
EQ:NL:GROUP,,NN Group N.V.,XAMS,EUR,30,NL,NN.AS,,candidat screener yahoo 2026-08-21
EQ:IT:SNAM,,Snam S.p.A.,XMIL,EUR,65,IT,SRG.MI,,candidat screener yahoo 2026-08-21
EQ:DE:MTUAEROENGINES,,MTU AERO ENGINES,XETR,EUR,50,DE,MTX.DE,,candidat screener yahoo 2026-08-21
EQ:DE:UNIPER,,Uniper SE,XETR,EUR,65,DE,UN0.DE,,candidat screener yahoo 2026-08-21
EQ:PT:EDP,,"EDP, S.A.",XLIS,EUR,65,PT,EDP.LS,,candidat screener yahoo 2026-08-21
EQ:FR:AMUNDI,,Amundi S.A.,XPAR,EUR,30,FR,AMUN.PA,,candidat screener yahoo 2026-08-21
EQ:FR:SARTORIUSSTEDIMB,,Sartorius Stedim Biotech S.A.,XPAR,EUR,20,FR,DIM.PA,,candidat screener yahoo 2026-08-21
EQ:CZ:CSG,,CSG N.V.,XWBO,EUR,50,CZ,CSG.VI,,candidat screener yahoo 2026-08-21
EQ:DE:TRATON,,Traton SE,XETR,EUR,50,DE,8TRA.DE,,candidat screener yahoo 2026-08-21
EQ:FI:WARTSILA,,Wartsila OYJ Abp,XHEL,EUR,50,FI,WRT1V.HE,,candidat screener yahoo 2026-08-21
EQ:FI:FORTUM,,Fortum Oyj,XHEL,EUR,65,FI,FORTUM.HE,,candidat screener yahoo 2026-08-21
EQ:FR:BOUYGUES,,Bouygues SA,XPAR,EUR,50,FR,EN.PA,,candidat screener yahoo 2026-08-21
EQ:IE:BANKIRELANDGROUP,,Bank of Ireland Group plc,XDUB,EUR,30,IE,BIRG.IR,,candidat screener yahoo 2026-08-21
EQ:IT:TECHNOPROBE,,Technoprobe S.p.A.,XMIL,EUR,10,IT,TPRO.MI,,candidat screener yahoo 2026-08-21
EQ:IT:BANCAMEDIOLANUM,,Banca Mediolanum S.p.A.,XMIL,EUR,30,IT,BMED.MI,,candidat screener yahoo 2026-08-21
EQ:ES:CELLNEXTELECOM,,"Cellnex Telecom, S.A.",XMAD,EUR,35,ES,CLNX.MC,,candidat screener yahoo 2026-08-21
EQ:ES:BANCOSABADELL,,"Banco de Sabadell, S.A.",XMAD,EUR,30,ES,SAB.MC,,candidat screener yahoo 2026-08-21
EQ:DE:SARTORIUS,,Sartorius Aktiengesellschaft,XETR,EUR,20,DE,SRT3.DE,,candidat screener yahoo 2026-08-21
EQ:DE:BEIERSDORF,,Beiersdorf Aktiengesellschaft,XETR,EUR,45,DE,BEI.DE,,candidat screener yahoo 2026-08-21
EQ:DE:VONOVIA,,Vonovia SE,XETR,EUR,35,DE,VNA.DE,,candidat screener yahoo 2026-08-21
EQ:PT:GALPENERGIASGPS,,"Galp Energia, SGPS, S.A.",XLIS,EUR,60,PT,GALP.LS,,candidat screener yahoo 2026-08-21
EQ:NL:SEMICONDUCTORIND,,BE Semiconductor Industries N.V.,XAMS,EUR,10,NL,BESI.AS,,candidat screener yahoo 2026-08-21
EQ:DE:KNORRBREMSE,,Knorr-Bremse AG,XETR,EUR,40,DE,KBX.DE,,candidat screener yahoo 2026-08-21
EQ:IT:TELECOMITALIA,,Telecom Italia S.p.A.,XMIL,EUR,15,IT,TIT.MI,,candidat screener yahoo 2026-08-21
EQ:PT:BANCOCOMERCIALPO,,"Banco Comercial Português, S.A.",XLIS,EUR,30,PT,BCP.LS,,candidat screener yahoo 2026-08-21
EQ:NL:KONINKLIJKEKPN,,Koninklijke KPN N.V.,XAMS,EUR,15,NL,KPN.AS,,candidat screener yahoo 2026-08-21
EQ:ES:BANKINTER,,"Bankinter, S.A.",XMAD,EUR,30,ES,BKT.MC,,candidat screener yahoo 2026-08-21
EQ:FR:UNIBAILRODAMCOWE,,Unibail-Rodamco-Westfield SE,XPAR,EUR,35,FR,URW.PA,,candidat screener yahoo 2026-08-21
EQ:DE:DWSGROUP,,DWS Group GmbH & Co. KGaA,XETR,EUR,30,DE,DWS.DE,,candidat screener yahoo 2026-08-21
EQ:IT:FINECOBANKBANCAF,,FinecoBank Banca Fineco S.p.A.,XMIL,EUR,30,IT,FBK.MI,,candidat screener yahoo 2026-08-21
EQ:FI:METSO,,Metso Oyj,XHEL,EUR,50,FI,METSO.HE,,candidat screener yahoo 2026-08-21
EQ:NL:HALTRUST,,HAL Trust,XAMS,EUR,30,NL,HAL.AS,,candidat screener yahoo 2026-08-21
EQ:NL:ASRNEDERLAND,,ASR Nederland N.V.,XAMS,EUR,30,NL,ASRNL.AS,,candidat screener yahoo 2026-08-21
EQ:BE:ELIAGROUPSANV,,Elia Group SA/NV,XBRU,EUR,65,BE,ELI.BR,,candidat screener yahoo 2026-08-21
EQ:ES:MAPFRE,,"Mapfre, S.A.",XMAD,EUR,30,ES,MAP.MC,,candidat screener yahoo 2026-08-21
EQ:AT:BAWAGGROUP,,BAWAG Group AG,XWBO,EUR,30,AT,BG.VI,,candidat screener yahoo 2026-08-21
EQ:SE:EVOLUTION,,Evolution AB,XMIL,EUR,40,SE,1EVO.MI,,candidat screener yahoo 2026-08-21
EQ:IE:KERRYGROUP,,Kerry Group plc,XDUB,EUR,45,IE,KRZ.IR,,candidat screener yahoo 2026-08-21
EQ:FR:IPSEN,,Ipsen S.A.,XPAR,EUR,20,FR,IPN.PA,,candidat screener yahoo 2026-08-21
EQ:FI:UPMKYMMENE,,UPM-Kymmene Oyj,XHEL,EUR,55,FI,UPM.HE,,candidat screener yahoo 2026-08-21
EQ:IT:MONCLER,,Moncler S.p.A.,XMIL,EUR,40,IT,MONC.MI,,candidat screener yahoo 2026-08-21
EQ:LU:EUROFINSSCIENTIF,,Eurofins Scientific SE,XWBO,EUR,20,LU,ESF.VI,,candidat screener yahoo 2026-08-21
EQ:DE:SYMRISE,,Symrise AG,XETR,EUR,55,DE,SY1.DE,,candidat screener yahoo 2026-08-21
EQ:FR:EIFFAGE,,Eiffage SA,XPAR,EUR,50,FR,FGR.PA,,candidat screener yahoo 2026-08-21
EQ:ES:ACCIONA,,"Acciona, S.A.",XMAD,EUR,50,ES,ANA.MC,,candidat screener yahoo 2026-08-21
EQ:DE:DELIVERYHERO,,Delivery Hero SE,XETR,EUR,40,DE,DHER.DE,,candidat screener yahoo 2026-08-21
EQ:ES:INDRASISTEMAS,,"Indra Sistemas, S.A.",XMAD,EUR,10,ES,IDR.MC,,candidat screener yahoo 2026-08-21
EQ:FR:KLEPIERRE,,Klépierre SA,XPAR,EUR,35,FR,LI.PA,,candidat screener yahoo 2026-08-21
EQ:FI:ORION,,Orion Oyj,XHEL,EUR,20,FI,ORNBV.HE,,candidat screener yahoo 2026-08-21
EQ:FR:AEROPORTSPARIS,,Aeroports de Paris SA,XPAR,EUR,50,FR,ADP.PA,,candidat screener yahoo 2026-08-21
EQ:PT:JERONIMOMARTINSS,,"Jerónimo Martins, SGPS, S.A.",XLIS,EUR,45,PT,JMT.LS,,candidat screener yahoo 2026-08-21
EQ:DE:FRESENIUSMEDICAL,,Fresenius Medical Care AG,XETR,EUR,20,DE,FME.DE,,candidat screener yahoo 2026-08-21
EQ:IT:RECORDATIINDUSTR,,Recordati Industria Chimica e Farmaceutica S.p.A.,XMIL,EUR,20,IT,REC.MI,,candidat screener yahoo 2026-08-21
EQ:FR:BOLLORE,,Bolloré SE,XPAR,EUR,15,FR,BOL.PA,,candidat screener yahoo 2026-08-21
EQ:FR:REXEL,,Rexel S.A.,XPAR,EUR,10,FR,RXL.PA,,candidat screener yahoo 2026-08-21
EQ:FR:ACCOR,,Accor SA,XPAR,EUR,40,FR,AC.PA,,candidat screener yahoo 2026-08-21
EQ:NL:THEMAGNUMICE,,THE MAGNUM ICE CREAM COMPANY N.,XAMS,EUR,45,NL,MICC.AS,,candidat screener yahoo 2026-08-21
EQ:BE:LOTUSBAKERIES,,Lotus Bakeries NV,XBRU,EUR,45,BE,LOTB.BR,,candidat screener yahoo 2026-08-21
EQ:NL:AKZONOBEL,,Akzo Nobel N.V.,XAMS,EUR,55,NL,AKZA.AS,,candidat screener yahoo 2026-08-21
EQ:DE:HENSOLDT,,Hensoldt AG,XETR,EUR,50,DE,HAG.DE,,candidat screener yahoo 2026-08-21
EQ:AT:STRABAG,,Strabag SE,XWBO,EUR,50,AT,STR.VI,,candidat screener yahoo 2026-08-21
EQ:ES:PUIGBRANDS,,Puig Brands SA,XMAD,EUR,45,ES,PUIG.MC,,candidat screener yahoo 2026-08-21
EQ:DE:NORDEX,,Nordex SE,XETR,EUR,50,DE,NDX1.DE,,candidat screener yahoo 2026-08-21
EQ:BE:DIETERENGROUP,,D'Ieteren Group SA,XBRU,EUR,40,BE,DIE.BR,,candidat screener yahoo 2026-08-21
EQ:DE:ECKERTZIEGLER,,Eckert & Ziegler SE,XETR,EUR,20,DE,EUZ.DE,,candidat screener yahoo 2026-08-21
EQ:DE:DEUTSCHELUFTHANS,,Deutsche Lufthansa AG,XETR,EUR,50,DE,LHA.DE,,candidat screener yahoo 2026-08-21
EQ:ES:MERLINPROPERTIES,,"MERLIN Properties SOCIMI, S.A.",XMAD,EUR,35,ES,MRL.MC,,candidat screener yahoo 2026-08-21
EQ:ES:UNICAJABANCO,,"Unicaja Banco, S.A.",XMAD,EUR,30,ES,UNI.MC,,candidat screener yahoo 2026-08-21
EQ:IT:EDISON,,Edison S.p.A.,XMIL,EUR,60,IT,EDNR.MI,,candidat screener yahoo 2026-08-21
EQ:IT:ITALGAS,,Italgas S.p.A.,XMIL,EUR,65,IT,IG.MI,,candidat screener yahoo 2026-08-21
EQ:BE:SOFINASOCIETE,,Sofina Société Anonyme,XBRU,EUR,30,BE,SOF.BR,,candidat screener yahoo 2026-08-21
EQ:FR:AYVENS,,AYVENS,XPAR,EUR,50,FR,AYV.PA,,candidat screener yahoo 2026-08-21
EQ:DE:BRENNTAG,,Brenntag SE,XETR,EUR,55,DE,BNR.DE,,candidat screener yahoo 2026-08-21
EQ:FR:ABIVAXSOCIETE,,ABIVAX Société Anonyme,XPAR,EUR,20,FR,ABVX.PA,,candidat screener yahoo 2026-08-21
EQ:FI:KESKO,,Kesko Oyj,XHEL,EUR,45,FI,KESKOB.HE,,candidat screener yahoo 2026-08-21
EQ:FR:BIOMERIEUX,,bioMérieux S.A.,XPAR,EUR,20,FR,BIM.PA,,candidat screener yahoo 2026-08-21
EQ:BE:GROUPEBRUXELLESL,,Groupe Bruxelles Lambert SA,XBRU,EUR,30,BE,GBLB.BR,,candidat screener yahoo 2026-08-21
EQ:DE:EVONIKINDUSTRIES,,Evonik Industries AG,XETR,EUR,55,DE,EVK.DE,,candidat screener yahoo 2026-08-21
EQ:DE:PORSCHEAUTOMOBIL,,Porsche Automobil Holding SE,XETR,EUR,40,DE,PAH3.DE,,candidat screener yahoo 2026-08-21
EQ:BE:ACKERMANSVANHAAR,,Ackermans & Van Haaren NV,XBRU,EUR,50,BE,ACKB.BR,,candidat screener yahoo 2026-08-21
EQ:DE:THYSSENKRUPP,,thyssenkrupp AG,XETR,EUR,50,DE,TKA.DE,,candidat screener yahoo 2026-08-21
EQ:FR:RENAULT,,Renault SA,XPAR,EUR,40,FR,RNO.PA,,candidat screener yahoo 2026-08-21
EQ:FR:SODEXO,,Sodexo S.A.,XPAR,EUR,50,FR,SW.PA,,candidat screener yahoo 2026-08-21
EQ:ES:REDEIACORPORACIO,,"Redeia Corporación, S.A.",XMAD,EUR,65,ES,RED.MC,,candidat screener yahoo 2026-08-21
EQ:BE:FINANCIERETUBIZE,,Financière de Tubize SA,XBRU,EUR,20,BE,TUB.BR,,candidat screener yahoo 2026-08-21
EQ:BE:SYENSQOSANV,,Syensqo SA/NV,XBRU,EUR,55,BE,SYENS.BR,,candidat screener yahoo 2026-08-21
EQ:AT:ANDRITZ,,Andritz AG,XWBO,EUR,50,AT,ANDR.VI,,candidat screener yahoo 2026-08-21
EQ:DE:AURUBIS,,Aurubis AG,XETR,EUR,50,DE,NDA.DE,,candidat screener yahoo 2026-08-21
EQ:SI:KRKA,,"Krka, d. d.",XWBO,EUR,20,SI,KRKG.VI,,candidat screener yahoo 2026-08-21
EQ:FR:SPIE,,SPIE SA,XPAR,EUR,50,FR,SPIE.PA,,candidat screener yahoo 2026-08-21
EQ:FI:STORAENSO,,Stora Enso Oyj,XHEL,EUR,40,FI,STEAV.HE,,candidat screener yahoo 2026-08-21
