internal_code,isin,name,exchange_code,currency,sector_code,country_iso2,yfinance_symbol,stooq_symbol,notes
EQ:NL:AHOLD,NL0011794037,Koninklijke Ahold Delhaize,XAMS,EUR,45,NL,AD.AS,ad.nl,
EQ:NL:PROSUS,NL0013654783,Prosus,XAMS,EUR,10,NL,PRX.AS,prx.nl,
EQ:ES:IBERDROLA,ES0144580Y14,Iberdrola,XMAD,EUR,65,ES,IBE.MC,ibe.es,
EQ:ES:SANTANDER,ES0113900J37,Banco Santander,XMAD,EUR,30,ES,SAN.MC,san.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat
EQ:ES:INDITEX,ES0148396007,Industria de Diseno Textil,XMAD,EUR,40,ES,ITX.MC,itx.es,
EQ:ES:AMADEUS,ES0109067019,Amadeus IT Group,XMAD,EUR,10,ES,AMS.MC,ams.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat
EQ:ES:TELEFONICA,ES0178430E18,Telefonica,XMAD,EUR,15,ES,TEF.MC,tef.es,
EQ:ES:AENA,ES0105046009,Aena,XMAD,EUR,50,ES,AENA.MC,aena.es,Introduite en bourse en 2015 historique court
EQ:IT:ENEL,IT0003128367,Enel,XMIL,EUR,65,IT,ENEL.MI,enel.it,
EQ:IT:FERRARI,NL0011585146,Ferrari,XMIL,EUR,40,NL,RACE.MI,race.it,ISIN neerlandais
EQ:IT:INTESA,IT0000072618,Intesa Sanpaolo,XMIL,EUR,30,IT,ISP.MI,isp.it,
EQ:IT:ENI,IT0003132476,Eni,XMIL,EUR,60,IT,ENI.MI,eni.it,
EQ:BE:ABINBEV,BE0974293251,Anheuser-Busch InBev,XBRU,EUR,45,BE,ABI.BR,abi.be,
EQ:BE:KBC,BE0003565737,KBC Groep,XBRU,EUR,30,BE,KBC.BR,kbc.be,
EQ:BE:UCB,BE0003739530,UCB,XBRU,EUR,20,BE,UCB.BR,ucb.be,
