internal_code,isin,name,exchange_code,currency,sector_code,country_iso2,yfinance_symbol,stooq_symbol,notes,n_obs,first,last,years,last_close,reported_currency,reported_name,name_ratio,error,status,reasons
EQ:FR:MICHELIN,FR001400AJ45,Michelin,XPAR,EUR,40,FR,ML.PA,ml.fr,ISIN change en 2022 lors du passage SCA vers SE,1390,2000-01-03,2026-08-17,26.6,34.75,EUR,Compagnie Générale des Établissements Michelin Société en commandite par actions,1.0,,ok,
EQ:FR:CAPGEMINI,FR0000125338,Capgemini,XPAR,EUR,10,FR,CAP.PA,cap.fr,,1390,2000-01-03,2026-08-17,26.6,108.85,EUR,Capgemini SE,1.0,,ok,
EQ:FR:LEGRAND,FR0010307819,Legrand,XPAR,EUR,50,FR,LR.PA,lr.fr,,1064,2006-04-03,2026-08-17,20.4,136.45,EUR,Legrand SA,1.0,,ok,
EQ:FR:PUBLICIS,FR0000130577,Publicis Groupe,XPAR,EUR,40,FR,PUB.PA,pub.fr,,1353,2000-09-18,2026-08-17,25.9,100.85,EUR,Publicis Groupe S.A.,1.0,,ok,
EQ:FR:KERING,FR0000121485,Kering,XPAR,EUR,40,FR,KER.PA,ker.fr,,1390,2000-01-03,2026-08-17,26.6,251.2,EUR,Kering SA,1.0,,ok,
EQ:FR:DASSAULTSYS,FR0014003TT8,Dassault Systemes,XPAR,EUR,10,FR,DSY.PA,dsy.fr,ISIN change au split 5 pour 1 de 2021,1390,2000-01-03,2026-08-17,26.6,22.14,EUR,Dassault Systèmes SE,1.0,,ok,
EQ:FR:THALES,FR0000121329,Thales,XPAR,EUR,50,FR,HO.PA,ho.fr,,1390,2000-01-03,2026-08-17,26.6,253.6,EUR,Thales S.A.,1.0,,ok,
EQ:FR:VEOLIA,FR0000124141,Veolia Environnement,XPAR,EUR,65,FR,VIE.PA,vie.fr,,1362,2000-07-17,2026-08-17,26.1,34.35,EUR,Veolia Environnement SA,1.0,,ok,
EQ:FR:ENGIE,FR0010208488,Engie,XPAR,EUR,65,FR,ENGI.PA,engi.fr,,1390,2000-01-03,2026-08-17,26.6,25.57,EUR,Engie SA,1.0,,ok,
EQ:FR:ORANGE,FR0000133308,Orange,XPAR,EUR,15,FR,ORA.PA,ora.fr,,1390,2000-01-03,2026-08-17,26.6,16.025,EUR,Orange S.A.,1.0,,ok,
EQ:FR:CARREFOUR,FR0000120172,Carrefour,XPAR,EUR,45,FR,CA.PA,ca.fr,,1390,2000-01-03,2026-08-17,26.6,15.89,EUR,Carrefour SA,1.0,,ok,
EQ:FR:SEB,FR0000121709,SEB,XPAR,EUR,40,FR,SK.PA,sk.fr,Cas du podcast ne pas confondre avec SEB banque suedoise,1390,2000-01-03,2026-08-17,26.6,58.55,EUR,SEB SA,1.0,,ok,
EQ:FR:ARKEMA,FR0010313833,Arkema,XPAR,EUR,55,FR,AKE.PA,ake.fr,Cas cyclique de reference doc 08,1058,2006-05-15,2026-08-17,20.3,59.85,EUR,Arkema S.A.,1.0,,ok,
EQ:FR:GETLINK,FR0010533075,Getlink,XPAR,EUR,50,FR,GET.PA,get.fr,,999,2007-07-02,2026-08-17,19.1,19.34,EUR,Getlink SE,1.0,,ok,
EQ:DE:SAP,DE0007164600,SAP,XETR,EUR,10,DE,SAP.DE,sap.de,,1481,1998-04-06,2026-08-17,28.4,184.38,EUR,SAP SE,1.0,,ok,
EQ:DE:SIEMENS,DE0007236101,Siemens,XETR,EUR,50,DE,SIE.DE,sie.de,,1555,1996-11-04,2026-08-17,29.8,279.15,EUR,Siemens Aktiengesellschaft,1.0,,ok,
EQ:DE:ALLIANZ,DE0008404005,Allianz,XETR,EUR,30,DE,ALV.DE,alv.de,,1549,1996-12-16,2026-08-17,29.7,439.4,EUR,Allianz SE,1.0,,ok,
EQ:DE:BASF,DE000BASF111,BASF,XETR,EUR,55,DE,BAS.DE,bas.de,,1549,1996-12-16,2026-08-17,29.7,51.79,EUR,BASF SE,1.0,,ok,
EQ:DE:BMW,DE0005190003,Bayerische Motoren Werke,XETR,EUR,40,DE,BMW.DE,bmw.de,Cas erosion de reference doc 08,1555,1996-11-04,2026-08-17,29.8,58.94,EUR,Bayerische Motoren Werke Aktiengesellschaft,1.0,,ok,
EQ:DE:MERCEDES,DE0007100000,Mercedes-Benz Group,XETR,EUR,40,DE,MBG.DE,mbg.de,,1556,1996-10-28,2026-08-17,29.8,45.07,EUR,Mercedes-Benz Group AG,1.0,,ok,
EQ:DE:DTELEKOM,DE0005557508,Deutsche Telekom,XETR,EUR,15,DE,DTE.DE,dte.de,,1553,1996-11-18,2026-08-17,29.7,28.85,EUR,Deutsche Telekom AG,1.0,,ok,
EQ:DE:MUNICHRE,DE0008430026,Muenchener Rueckversicherung,XETR,EUR,30,DE,MUV2.DE,muv2.de,,1470,1998-06-22,2026-08-17,28.2,516.6,EUR,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,1.0,,ok,
EQ:DE:ADIDAS,DE000A1EWWW0,adidas,XETR,EUR,40,DE,ADS.DE,ads.de,,1470,1998-06-22,2026-08-17,28.2,153.4,EUR,adidas AG,1.0,,ok,
EQ:DE:INFINEON,DE0006231004,Infineon Technologies,XETR,EUR,10,DE,IFX.DE,ifx.de,,1380,2000-03-13,2026-08-17,26.4,55.86,EUR,Infineon Technologies AG,1.0,,ok,
EQ:NL:ASML,NL0010273215,ASML Holding,XAMS,EUR,10,NL,ASML.AS,asml.nl,,1466,1998-07-20,2026-08-17,28.1,1514.4,EUR,ASML Holding N.V.,1.0,,ok,
EQ:NL:HEINEKEN,NL0000009165,Heineken,XAMS,EUR,45,NL,HEIA.AS,heia.nl,,1639,1995-03-27,2026-08-17,31.4,71.98,EUR,Heineken N.V.,1.0,,ok,
EQ:NL:WOLTERS,NL0000395903,Wolters Kluwer,XAMS,EUR,50,NL,WKL.AS,wkl.nl,,1639,1995-03-27,2026-08-17,31.4,70.62,EUR,Wolters Kluwer N.V.,1.0,,ok,
EQ:NL:ING,NL0011821202,ING Groep,XAMS,EUR,30,NL,INGA.AS,inga.nl,,1639,1995-03-27,2026-08-17,31.4,29.77,EUR,ING Groep N.V.,1.0,,ok,
EQ:NL:AHOLD,NL0011794037,Koninklijke Ahold Delhaize,XAMS,EUR,45,NL,AD.AS,ad.nl,,931,2008-10-20,2026-08-17,17.8,31.1,EUR,Koninklijke Ahold Delhaize N.V.,1.0,,ok,
EQ:NL:PROSUS,NL0013654783,Prosus,XAMS,EUR,10,NL,PRX.AS,prx.nl,,363,2019-09-09,2026-08-17,6.9,37.96,EUR,Prosus N.V.,1.0,,avertissement,historique_6.9a
EQ:ES:IBERDROLA,ES0144580Y14,Iberdrola,XMAD,EUR,65,ES,IBE.MC,ibe.es,,1390,2000-01-03,2026-08-17,26.6,20.12,EUR,"Iberdrola, S.A.",1.0,,ok,
EQ:ES:SANTANDER,ES0113900J37,Banco Santander,XMAD,EUR,30,ES,SAN.MC,san.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat,1390,2000-01-03,2026-08-17,26.6,12.49,EUR,"Banco Santander, S.A.",1.0,,ok,
EQ:ES:INDITEX,ES0148396007,Industria de Diseno Textil,XMAD,EUR,40,ES,ITX.MC,itx.es,,1318,2001-05-21,2026-08-17,25.2,57.94,EUR,"Industria de Diseño Textil, S.A.",1.0,,ok,
EQ:ES:AMADEUS,ES0109067019,Amadeus IT Group,XMAD,EUR,10,ES,AMS.MC,ams.es,Historique tronque chez yfinance en aout 2026 non chargeable en l etat,852,2010-04-26,2026-08-17,16.3,56.42,EUR,"Amadeus IT Group, S.A.",1.0,,ok,
EQ:ES:TELEFONICA,ES0178430E18,Telefonica,XMAD,EUR,15,ES,TEF.MC,tef.es,,1390,2000-01-03,2026-08-17,26.6,3.639,EUR,"Telefónica, S.A.",1.0,,ok,
EQ:ES:AENA,ES0105046009,Aena,XMAD,EUR,50,ES,AENA.MC,aena.es,Introduite en bourse en 2015 historique court,602,2015-02-09,2026-08-17,11.5,26.96,EUR,"Aena S.M.E., S.A.",1.0,,avertissement,historique_11.5a
EQ:IT:ENEL,IT0003128367,Enel,XMIL,EUR,65,IT,ENEL.MI,enel.it,,1399,1999-11-01,2026-08-17,26.8,9.521,EUR,Enel SpA,1.0,,ok,
EQ:IT:FERRARI,NL0011585146,Ferrari,XMIL,EUR,40,NL,RACE.MI,race.it,ISIN neerlandais,555,2016-01-04,2026-08-17,10.6,370.15,EUR,Ferrari N.V.,1.0,,avertissement,historique_10.6a
EQ:IT:INTESA,IT0000072618,Intesa Sanpaolo,XMIL,EUR,30,IT,ISP.MI,isp.it,,1640,1995-03-20,2026-08-17,31.4,6.777,EUR,Intesa Sanpaolo S.p.A.,1.0,,ok,
EQ:IT:ENI,IT0003132476,Eni,XMIL,EUR,60,IT,ENI.MI,eni.it,,1604,1995-11-27,2026-08-17,30.7,24.31,EUR,Eni S.p.A.,1.0,,ok,
EQ:BE:ABINBEV,BE0974293251,Anheuser-Busch InBev,XBRU,EUR,45,BE,ABI.BR,abi.be,,1343,2000-11-27,2026-08-17,25.7,66.74,EUR,Anheuser-Busch InBev SA/NV,1.0,,ok,
EQ:BE:KBC,BE0003565737,KBC Groep,XBRU,EUR,30,BE,KBC.BR,kbc.be,,1390,2000-01-03,2026-08-17,26.6,130.8,EUR,KBC Group NV,1.0,,ok,
EQ:BE:UCB,BE0003739530,UCB,XBRU,EUR,20,BE,UCB.BR,ucb.be,,1390,2000-01-03,2026-08-17,26.6,216.8,EUR,UCB SA,1.0,,ok,
EQ:ES:BANCOBILBAOVIZCA,,"Banco Bilbao Vizcaya Argentaria, S.A.",XMAD,EUR,30,ES,BBVA.MC,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,24.74,EUR,"Banco Bilbao Vizcaya Argentaria, S.A.",1.0,,avertissement,isin_absent
EQ:DE:SIEMENSENERGY,,Siemens Energy AG,XETR,EUR,50,DE,ENR.DE,,candidat screener yahoo 2026-08-21,308,2020-09-28,2026-08-17,5.9,154.88,EUR,Siemens Energy AG,1.0,,avertissement,isin_absent|historique_5.9a
EQ:SE:SPOTIFYTECHNOLOG,,Spotify Technology S.A.,XETR,EUR,15,SE,639.DE,,candidat screener yahoo 2026-08-21,128,2024-03-11,2026-08-17,2.4,459.0,EUR,Spotify Technology S.A.,1.0,,avertissement,isin_absent|historique_2.4a
EQ:ES:CAIXABANK,,"CaixaBank, S.A.",XMAD,EUR,30,ES,CABK.MC,,candidat screener yahoo 2026-08-21,985,2007-10-08,2026-08-17,18.9,12.95,EUR,"CaixaBank, S.A.",1.0,,avertissement,isin_absent
EQ:IT:ASSICURAZIONIGEN,,Assicurazioni Generali S.p.A.,XMIL,EUR,30,IT,G.MI,,candidat screener yahoo 2026-08-21,2092,1986-07-21,2026-08-17,40.1,42.82,EUR,Assicurazioni Generali S.p.A.,1.0,,avertissement,isin_absent
EQ:DE:DEUTSCHEPOST,,Deutsche Post AG,XETR,EUR,50,DE,DHL.DE,,candidat screener yahoo 2026-08-21,1344,2000-11-20,2026-08-17,25.7,56.1,EUR,Deutsche Post AG,1.0,,avertissement,isin_absent
EQ:DE:DEUTSCHEBANK,,Deutsche Bank Aktiengesellschaft,XETR,EUR,30,DE,DBK.DE,,candidat screener yahoo 2026-08-21,1553,1996-11-18,2026-08-17,29.7,32.045,EUR,Deutsche Bank Aktiengesellschaft,1.0,,avertissement,isin_absent
EQ:DE:MERCK,,Merck KGaA,XETR,EUR,20,DE,MRK.DE,,candidat screener yahoo 2026-08-21,1470,1998-06-22,2026-08-17,28.2,137.3,EUR,Merck KGaA,1.0,,avertissement,isin_absent
EQ:FI:NORDEABANK,,NORDEA BANK,XHEL,EUR,30,FI,NDA-FI.HE,,candidat screener yahoo 2026-08-21,1387,2000-01-24,2026-08-17,26.6,17.24,EUR,Nordea Bank Abp,1.0,,avertissement,isin_absent
EQ:FR:CREDITAGRICOLE,,Crédit Agricole S.A.,XPAR,EUR,30,FR,ACA.PA,,candidat screener yahoo 2026-08-21,1289,2001-12-10,2026-08-17,24.7,19.07,EUR,Crédit Agricole S.A.,1.0,,avertissement,isin_absent
EQ:FR:SOCIETEGENERALES,,Société Générale Société anonyme,XPAR,EUR,30,FR,GLE.PA,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,75.94,EUR,Société Générale Société anonyme,1.0,,avertissement,isin_absent
EQ:DE:RHEINMETALL,,Rheinmetall AG,XETR,EUR,50,DE,RHM.DE,,candidat screener yahoo 2026-08-21,1464,1998-08-03,2026-08-17,28.0,1151.8,EUR,Rheinmetall AG,1.0,,avertissement,isin_absent
EQ:DE:DEUTSCHEBORSE,,Deutsche Börse AG,XETR,EUR,30,DE,DB1.DE,,candidat screener yahoo 2026-08-21,1333,2001-02-05,2026-08-17,25.5,280.5,EUR,Deutsche Börse AG,1.0,,avertissement,isin_absent
EQ:FI:NOKIA,,Nokia Oyj,XHEL,EUR,10,FI,NOKIA.HE,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,8.864,EUR,Nokia Oyj,1.0,,avertissement,isin_absent
EQ:AT:ERSTEGROUPBANK,,Erste Group Bank AG,XWBO,EUR,30,AT,EBS.VI,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,121.0,EUR,Erste Group Bank AG,1.0,,avertissement,isin_absent
EQ:DE:BAYER,,Bayer Aktiengesellschaft,XETR,EUR,20,DE,BAYN.DE,,candidat screener yahoo 2026-08-21,1549,1996-12-16,2026-08-17,29.7,47.51,EUR,Bayer Aktiengesellschaft,1.0,,avertissement,isin_absent
EQ:DE:EON,,E.ON SE,XETR,EUR,65,DE,EOAN.DE,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,17.63,EUR,E.ON SE,1.0,,avertissement,isin_absent
EQ:DE:RWE,,RWE Aktiengesellschaft,XETR,EUR,65,DE,RWE.DE,,candidat screener yahoo 2026-08-21,1549,1996-12-16,2026-08-17,29.7,58.0,EUR,RWE Aktiengesellschaft,1.0,,avertissement,isin_absent
EQ:DE:SIEMENSHEALTHINE,,SIEMENS HEALTHINEERS,XETR,EUR,20,DE,SHL.DE,,candidat screener yahoo 2026-08-21,437,2018-04-09,2026-08-17,8.4,39.63,EUR,Siemens Healthineers AG,1.0,,avertissement,isin_absent|historique_8.4a
EQ:ES:ENDESA,,"Endesa, S.A.",XMAD,EUR,65,ES,ELE.MC,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,41.69,EUR,"Endesa, S.A.",1.0,,avertissement,isin_absent
EQ:DE:COMMERZBANK,,Commerzbank AG,XETR,EUR,30,DE,CBK.DE,,candidat screener yahoo 2026-08-21,1549,1996-12-16,2026-08-17,29.7,38.89,EUR,Commerzbank AG,1.0,,avertissement,isin_absent
EQ:DE:INGPORSCHE,,Dr. Ing. h.c. F. Porsche AG,XETR,EUR,40,DE,P911.DE,,candidat screener yahoo 2026-08-21,204,2022-09-26,2026-08-17,3.9,44.8,EUR,Dr. Ing. h.c. F. Porsche AG,1.0,,avertissement,isin_absent|historique_3.9a
EQ:NL:ASMINTERNATIONAL,,ASM International NV,XAMS,EUR,10,NL,ASM.AS,,candidat screener yahoo 2026-08-21,1442,1999-01-04,2026-08-17,27.6,833.8,EUR,ASM International NV,1.0,,avertissement,isin_absent
EQ:NL:FERROVIAL,,Ferrovial N.V.,XAMS,EUR,50,NL,FER.AS,,candidat screener yahoo 2026-08-21,167,2023-06-12,2026-08-17,3.2,54.9,EUR,Ferrovial N.V.,1.0,,avertissement,isin_absent|historique_3.2a
EQ:DE:VOLKSWAGEN,,Volkswagen AG,XETR,EUR,40,DE,VOW.DE,,candidat screener yahoo 2026-08-21,1640,1995-03-20,2026-08-17,31.4,76.3,EUR,Volkswagen AG,1.0,,avertissement,isin_absent
EQ:IT:PRYSMIAN,,Prysmian S.p.A.,XMIL,EUR,50,IT,PRY.MI,,candidat screener yahoo 2026-08-21,1008,2007-04-30,2026-08-17,19.3,125.9,EUR,Prysmian S.p.A.,1.0,,avertissement,isin_absent
EQ:IT:BANCAMONTEDEI,,Banca Monte dei Paschi di Siena S.p.A.,XMIL,EUR,30,IT,BMPS.MI,,candidat screener yahoo 2026-08-21,1418,1999-06-21,2026-08-17,27.2,11.638,EUR,Banca Monte dei Paschi di Siena S.p.A.,1.0,,avertissement,isin_absent
EQ:IT:POSTEITALIANE,,Poste Italiane S.p.A.,XMIL,EUR,50,IT,PST.MI,,candidat screener yahoo 2026-08-21,565,2015-10-26,2026-08-17,10.8,27.23,EUR,Poste Italiane S.p.A.,1.0,,avertissement,isin_absent|historique_10.8a
EQ:DE:DAIMLERTRUCKHOLD,,Daimler Truck Holding AG,XETR,EUR,50,DE,DTG.DE,,candidat screener yahoo 2026-08-21,246,2021-12-06,2026-08-17,4.7,45.56,EUR,Daimler Truck Holding AG,1.0,,avertissement,isin_absent|historique_4.7a
EQ:NL:ADYEN,,Adyen N.V.,XAMS,EUR,10,NL,ADYEN.AS,,candidat screener yahoo 2026-08-21,428,2018-06-11,2026-08-17,8.2,1067.0,EUR,Adyen N.V.,1.0,,avertissement,isin_absent|historique_8.2a
EQ:NL:ABNAMROBANK,,ABN AMRO Bank N.V.,XAMS,EUR,30,NL,ABN.AS,,candidat screener yahoo 2026-08-21,562,2015-11-16,2026-08-17,10.7,40.41,EUR,ABN AMRO Bank N.V.,1.0,,avertissement,isin_absent|historique_10.7a
EQ:IT:LEONARDO,,Leonardo S.p.a.,XMIL,EUR,50,IT,LDO.MI,,candidat screener yahoo 2026-08-21,1101,2005-07-18,2026-08-17,21.1,56.73,EUR,Leonardo S.p.a.,1.0,,avertissement,isin_absent
EQ:DE:HOCHTIEF,,HOCHTIEF Aktiengesellschaft,XETR,EUR,50,DE,HOT.DE,,candidat screener yahoo 2026-08-21,1466,1998-07-20,2026-08-17,28.1,434.2,EUR,HOCHTIEF Aktiengesellschaft,1.0,,avertissement,isin_absent
EQ:DE:TALANX,,Talanx AG,XETR,EUR,30,DE,TLX.DE,,candidat screener yahoo 2026-08-21,725,2012-10-01,2026-08-17,13.9,120.4,EUR,Talanx AG,1.0,,avertissement,isin_absent|historique_13.9a
EQ:ES:REPSOL,,"Repsol, S.A.",XMAD,EUR,60,ES,REP.MC,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,28.23,EUR,"Repsol, S.A.",1.0,,avertissement,isin_absent
EQ:DE:HENKEL,,Henkel AG & Co. KGaA,XETR,EUR,45,DE,HEN3.DE,,candidat screener yahoo 2026-08-21,1470,1998-06-22,2026-08-17,28.2,75.24,EUR,Henkel AG & Co. KGaA,1.0,,avertissement,isin_absent
EQ:DE:HANNOVERRUCK,,Hannover Rück SE,XETR,EUR,30,DE,HNR1.DE,,candidat screener yahoo 2026-08-21,1348,2000-10-23,2026-08-17,25.8,251.0,EUR,Hannover Rück SE,1.0,,avertissement,isin_absent
EQ:IT:BPERBANCA,,BPER Banca SpA,XMIL,EUR,30,IT,BPE.MI,,candidat screener yahoo 2026-08-21,1640,1995-03-20,2026-08-17,31.4,14.016,EUR,BPER Banca SpA,1.0,,avertissement,isin_absent
EQ:ES:ACSACTIVIDADESCO,,"ACS, Actividades de Construcción y Servicios, S.A.",XMAD,EUR,50,ES,ACS.MC,,candidat screener yahoo 2026-08-21,1286,2002-01-01,2026-08-18,24.6,106.9,EUR,"ACS, Actividades de Construcción y Servicios, S.A.",1.0,,avertissement,isin_absent
EQ:DE:HEIDELBERGMATERI,,Heidelberg Materials AG,XETR,EUR,55,DE,HEI.DE,,candidat screener yahoo 2026-08-21,1465,1998-07-27,2026-08-17,28.1,160.2,EUR,Heidelberg Materials AG,1.0,,avertissement,isin_absent
EQ:DK:NOVOZYMES,,Novozymes A/S,XETR,EUR,55,DK,NZM2.DE,,candidat screener yahoo 2026-08-21,1173,2000-11-27,2026-08-17,25.7,60.1,EUR,Novozymes A/S,1.0,,avertissement,isin_absent
EQ:DK:VESTASWINDSYSTEM,,Vestas Wind Systems A/S,XETR,EUR,50,DK,VWSB.DE,,candidat screener yahoo 2026-08-21,1358,2000-08-14,2026-08-17,26.0,28.24,EUR,Vestas Wind Systems A/S,1.0,,avertissement,isin_absent
EQ:ES:NATURGYENERGYGRO,,"Naturgy Energy Group, S.A.",XMAD,EUR,65,ES,NTGY.MC,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,29.54,EUR,"Naturgy Energy Group, S.A.",1.0,,avertissement,isin_absent
EQ:NL:UNIVERSALMUSICGR,,Universal Music Group N.V.,XAMS,EUR,15,NL,UMG.AS,,candidat screener yahoo 2026-08-21,257,2021-09-20,2026-08-17,4.9,14.805,EUR,Universal Music Group N.V.,1.0,,avertissement,isin_absent|historique_4.9a
EQ:FI:KONE,,KONE Oyj,XHEL,EUR,50,FI,KNEBV.HE,,candidat screener yahoo 2026-08-21,1108,2005-05-30,2026-08-17,21.2,51.78,EUR,KONE Oyj,1.0,,avertissement,isin_absent
EQ:FI:SAMPO,,Sampo Oyj,XHEL,EUR,30,FI,SAMPO.HE,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,9.664,EUR,Sampo Oyj,1.0,,avertissement,isin_absent
EQ:FI:NESTE,,Neste Oyj,XHEL,EUR,60,FI,NESTE.HE,,candidat screener yahoo 2026-08-21,1114,2005-04-18,2026-08-17,21.3,32.85,EUR,Neste Oyj,1.0,,avertissement,isin_absent
EQ:IT:BANCOBPM,,Banco BPM S.p.A.,XMIL,EUR,30,IT,BAMI.MI,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,16.67,EUR,Banco BPM S.p.A.,1.0,,avertissement,isin_absent
EQ:SE:HEXAGONPUBL,,Hexagon AB (publ),XMIL,EUR,10,SE,1HEXA.MI,,candidat screener yahoo 2026-08-21,76,2025-03-10,2026-08-17,1.4,9.25,EUR,Hexagon AB (publ),1.0,,avertissement,isin_absent|historique_1.4a
EQ:IE:RYANAIRHOLDINGS,,Ryanair Holdings plc,XDUB,EUR,50,IE,RYA.IR,,candidat screener yahoo 2026-08-21,1290,2001-12-03,2026-08-17,24.7,22.95,EUR,Ryanair Holdings plc,1.0,,avertissement,isin_absent
EQ:DE:HAPAGLLOYD,,Hapag-Lloyd Aktiengesellschaft,XETR,EUR,50,DE,HLAG.DE,,candidat screener yahoo 2026-08-21,564,2015-11-02,2026-08-17,10.8,136.6,EUR,Hapag-Lloyd Aktiengesellschaft,1.0,,avertissement,isin_absent|historique_10.8a
EQ:DE:BIONTECH,,BioNTech SE,XETR,EUR,20,DE,22UA.DE,,candidat screener yahoo 2026-08-21,303,2020-11-02,2026-08-17,5.8,94.5,EUR,BioNTech SE,1.0,,avertissement,isin_absent|historique_5.8a
EQ:NL:EXOR,,Exor N.V.,XAMS,EUR,50,NL,EXO.AS,,candidat screener yahoo 2026-08-21,211,2022-08-08,2026-08-17,4.0,70.6,EUR,Exor N.V.,1.0,,avertissement,isin_absent|historique_4.0a
EQ:FR:DASSAULTAVIATION,,Dassault Aviation société anonyme,XPAR,EUR,50,FR,AM.PA,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,301.2,EUR,Dassault Aviation société anonyme,1.0,,avertissement,isin_absent
EQ:NL:KONINKLIJKEPHILI,,Koninklijke Philips N.V.,XAMS,EUR,20,NL,PHIA.AS,,candidat screener yahoo 2026-08-21,1639,1995-03-27,2026-08-17,31.4,23.37,EUR,Koninklijke Philips N.V.,1.0,,avertissement,isin_absent
EQ:IE:AIBGROUP,,AIB Group plc,XDUB,EUR,30,IE,A5G.IR,,candidat screener yahoo 2026-08-21,1390,2000-01-03,2026-08-17,26.6,10.935,EUR,AIB Group plc,1.0,,avertissement,isin_absent
EQ:IT:MEDIOBANCABANCAC,,Mediobanca Banca di Credito Finanziario S.p.A.,XMIL,EUR,30,IT,MB.MI,,candidat screener yahoo 2026-08-21,2051,1987-05-04,2026-08-17,39.3,28.01,EUR,Mediobanca Banca di Credito Finanziario S.p.A.,1.0,,avertissement,isin_absent
